side,entry_timestamp,entry_price,exit_timestamp,exit_price,quantity,gross_pnl,net_pnl,r_multiple,trade_duration_minutes,exit_reason
LONG,2025-10-17 09:25:00+05:30,1419.9096,2025-10-17 09:50:00+05:30,1415.9030136053348,5,-20.032931973325958,-60.03293197332596,-0.7216580722868854,25.0,STOP_LOSS
LONG,2025-10-17 09:55:00+05:30,1420.8100499999998,2025-10-17 12:45:00+05:30,1425.0871,5,21.385250000000724,-18.614749999999276,-0.22539517346102428,170.0,STRATEGY_EXIT_LONG
LONG,2025-10-17 14:15:00+05:30,1427.7134999999998,2025-10-17 14:30:00+05:30,1423.415256137405,5,-21.491219312973726,-61.491219312973726,-0.7462433816692778,15.0,STOP_LOSS
LONG,2025-10-17 14:35:00+05:30,1433.1162,2025-10-17 15:25:00+05:30,1435.8817,5,13.827499999999873,-26.172500000000127,-0.3200115423387993,50.0,STRATEGY_EXIT_LONG
SHORT,2025-10-20 09:25:00+05:30,1407.6958000000002,2025-10-20 09:35:00+05:30,1415.3858530572916,5,-38.4502652864569,-78.4502652864569,-0.9622919926327134,10.0,STOP_LOSS
SHORT,2025-10-20 09:40:00+05:30,1410.1945500000002,2025-10-20 15:25:00+05:30,1393.6965,5,82.49025000000074,42.49025000000074,0.5262609686081775,345.0,STRATEGY_EXIT_SHORT
SHORT,2025-10-21 13:45:00+05:30,1385.80675,2025-10-21 14:40:00+05:30,1381.99065,5,19.08050000000003,-20.91949999999997,-0.25774108066051826,55.0,STRATEGY_EXIT_SHORT
SHORT,2025-10-23 09:15:00+05:30,1383.9077,2025-10-23 09:25:00+05:30,1388.4167747318925,5,-22.545373659462484,-62.545373659462484,-0.7725886730413782,10.0,STOP_LOSS
SHORT,2025-10-23 09:55:00+05:30,1385.40695,2025-10-23 15:25:00+05:30,1364.9821499999998,5,102.12400000000116,62.12400000000116,0.7733585561017099,330.0,STRATEGY_EXIT_SHORT
LONG,2025-10-24 10:10:00+05:30,1381.79055,2025-10-24 10:20:00+05:30,1377.443430753475,5,-21.73559623262463,-61.73559623262463,-0.7626256315761069,10.0,STOP_LOSS
LONG,2025-10-24 10:25:00+05:30,1379.2893,2025-10-24 11:05:00+05:30,1375.0959622687262,5,-20.966688656368433,-60.96668865636843,-0.7589149236370777,40.0,STOP_LOSS
LONG,2025-10-24 11:20:00+05:30,1378.6889999999999,2025-10-24 11:25:00+05:30,1374.876949807417,5,-19.06025096291387,-59.06025096291387,-0.7408056221422971,5.0,STOP_LOSS
LONG,2025-10-24 12:05:00+05:30,1378.6889999999999,2025-10-24 13:00:00+05:30,1375.0285266551823,5,-18.302366724087733,-58.30236672408773,-0.7367572538277115,55.0,STOP_LOSS
SHORT,2025-10-24 13:30:00+05:30,1371.61385,2025-10-24 14:10:00+05:30,1374.7113923489455,5,-15.487711744727903,-55.4877117447279,-0.706393333896464,40.0,STOP_LOSS
SHORT,2025-10-24 14:15:00+05:30,1371.1141,2025-10-24 14:30:00+05:30,1374.3176110641157,5,-16.017555320578367,-56.01755532057837,-0.7182119760895792,15.0,STOP_LOSS
SHORT,2025-10-24 14:35:00+05:30,1370.1146,2025-10-24 14:45:00+05:30,1373.4214272712468,5,-16.534136356233375,-56.534136356233375,-0.7300786745341604,10.0,STOP_LOSS
LONG,2025-10-24 15:15:00+05:30,1379.2893,2025-10-24 15:25:00+05:30,1377.3110000000001,5,-9.891499999998814,-49.891499999998814,-0.6490345026958279,10.0,STRATEGY_EXIT_LONG
LONG,2025-10-27 09:15:00+05:30,1383.3913499999999,2025-10-27 09:45:00+05:30,1379.6871737112376,5,-18.520881443811277,-58.52088144381128,-0.7662667661431625,30.0,STOP_LOSS
LONG,2025-10-27 10:05:00+05:30,1380.7900499999998,2025-10-27 11:40:00+05:30,1377.1821645360242,5,-18.039427319878314,-58.039427319878314,-0.7658309605075133,95.0,STOP_LOSS
LONG,2025-10-27 11:55:00+05:30,1381.8906,2025-10-27 12:10:00+05:30,1378.9167330841844,5,-14.869334579077531,-54.86933457907753,-0.7295889658138262,15.0,STOP_LOSS
SHORT,2025-10-27 13:10:00+05:30,1376.3115,2025-10-27 13:50:00+05:30,1379.0985104661474,5,-13.935052330737108,-53.93505233073711,-0.7224367798166037,40.0,STOP_LOSS
SHORT,2025-10-27 14:45:00+05:30,1375.5119000000002,2025-10-27 14:50:00+05:30,1378.4171969660274,5,-14.526484830136042,-54.52648483013604,-0.735673539465521,5.0,STOP_LOSS
SHORT,2025-10-27 14:55:00+05:30,1376.3115,2025-10-27 15:00:00+05:30,1379.189700445197,5,-14.391002225985403,-54.3910022259854,-0.7392843218257945,5.0,STOP_LOSS
SHORT,2025-10-27 15:20:00+05:30,1376.3115,2025-10-27 15:25:00+05:30,1379.3469546599788,5,-15.17727329989384,-55.17727329989384,-0.7555570594488424,5.0,STOP_LOSS
SHORT,2025-10-28 09:15:00+05:30,1368.81525,2025-10-28 13:05:00+05:30,1363.3813499999999,5,27.169500000001108,-12.830499999998892,-0.1770289996335058,230.0,STRATEGY_EXIT_SHORT
SHORT,2025-10-28 14:15:00+05:30,1359.2200500000001,2025-10-28 15:10:00+05:30,1362.7573959593412,5,-17.68672979670555,-57.68672979670555,-0.7973449769897399,55.0,STOP_LOSS
LONG,2025-10-29 09:15:00+05:30,1366.18275,2025-10-29 09:20:00+05:30,1362.290007011359,5,-19.463714943204877,-59.46371494320488,-0.8285125379157741,5.0,STOP_LOSS
LONG,2025-10-29 09:25:00+05:30,1365.4823999999999,2025-10-29 10:10:00+05:30,1361.4831131883655,5,-19.9964340581721,-59.9964340581721,-0.8429186411597964,45.0,STOP_LOSS
LONG,2025-10-29 10:30:00+05:30,1365.78255,2025-10-29 11:00:00+05:30,1362.2765108013598,5,-17.53019599320055,-57.53019599320055,-0.8151402503464923,30.0,STOP_LOSS
SHORT,2025-10-29 11:30:00+05:30,1360.41945,2025-10-29 12:05:00+05:30,1363.3538580777213,5,-14.672040388605865,-54.672040388605865,-0.7810096205693636,35.0,STOP_LOSS
LONG,2025-10-29 12:25:00+05:30,1365.58245,2025-10-29 12:35:00+05:30,1362.5960635357308,5,-14.931932321346721,-54.93193232134672,-0.7908992690171176,10.0,STOP_LOSS
LONG,2025-10-29 12:40:00+05:30,1364.7820499999998,2025-10-29 15:25:00+05:30,1370.9142,5,30.66075000000069,-9.33924999999931,-0.1355366620769426,165.0,STRATEGY_EXIT_LONG
SHORT,2025-10-30 10:00:00+05:30,1363.2180500000002,2025-10-30 10:10:00+05:30,1366.5685190874733,5,-16.752345437365648,-56.75234543736565,-0.824741079534096,10.0,STOP_LOSS
SHORT,2025-10-30 10:15:00+05:30,1363.01815,2025-10-30 11:40:00+05:30,1366.4257690908084,5,-17.038095454041695,-57.038095454041695,-0.835786756029302,85.0,STOP_LOSS
SHORT,2025-10-30 11:55:00+05:30,1363.2180500000002,2025-10-30 12:00:00+05:30,1366.0775029371873,4,-11.437811748748572,-51.43781174874857,-0.7600776868955145,5.0,STOP_LOSS
LONG,2025-10-30 12:45:00+05:30,1367.58345,2025-10-30 13:00:00+05:30,1364.7263914042842,4,-11.428234382863593,-51.42823438286359,-0.7657565100396959,15.0,STOP_LOSS
SHORT,2025-10-30 14:15:00+05:30,1363.8177500000002,2025-10-30 14:20:00+05:30,1366.6892151300797,4,-11.485860520318056,-51.485860520318056,-0.7725302528364988,5.0,STOP_LOSS
SHORT,2025-10-30 14:30:00+05:30,1363.01815,2025-10-30 14:35:00+05:30,1366.039401326817,4,-12.085005307267238,-52.08500530726724,-0.787604729637107,5.0,STOP_LOSS
SHORT,2025-10-30 14:40:00+05:30,1362.81825,2025-10-30 15:25:00+05:30,1363.0812,4,-1.0518000000001848,-41.051800000000185,-0.6256938297640248,45.0,STRATEGY_EXIT_SHORT
SHORT,2025-10-31 09:15:00+05:30,1356.42145,2025-10-31 09:25:00+05:30,1359.745882928356,4,-13.297731713423673,-53.29773171342367,-0.8174558097744223,10.0,STOP_LOSS
SHORT,2025-10-31 09:30:00+05:30,1358.9202,2025-10-31 09:35:00+05:30,1362.349482432069,4,-13.717129728275722,-53.71712972827572,-0.8306787732745052,5.0,STOP_LOSS
SHORT,2025-10-31 09:40:00+05:30,1358.62035,2025-10-31 14:25:00+05:30,1350.57495,4,32.18159999999989,-7.818400000000111,-0.12191604317002509,285.0,STRATEGY_EXIT_SHORT
SHORT,2025-10-31 14:50:00+05:30,1346.02665,2025-10-31 15:25:00+05:30,1346.17275,4,-0.5843999999997322,-40.58439999999973,-0.6336244112306467,35.0,STRATEGY_EXIT_SHORT
